iter	Logloss
0	0.6849520034
1	0.6792355452
2	0.6748516174
3	0.6678006243
4	0.6605085113
5	0.653187081
6	0.6447443709
7	0.6372643888
8	0.6313747584
9	0.6253253389
10	0.6186379798
11	0.6123883109
12	0.6067755284
13	0.6005056837
14	0.5935221456
15	0.5874374571
16	0.5823742651
17	0.5764910657
18	0.5705733049
19	0.565022466
20	0.5607138058
21	0.5563504992
22	0.5511262995
23	0.5475990292
24	0.5430151425
25	0.5376857673
26	0.533858845
27	0.5290279195
28	0.5244015044
29	0.5195033264
30	0.5149846083
31	0.50921492
32	0.5049553263
33	0.501390013
34	0.4965597329
35	0.4932578071
36	0.4894631617
37	0.48615873
38	0.4824765863
39	0.4779182294
40	0.4748055048
41	0.4706538444
42	0.4669614327
43	0.4644548266
44	0.4620685217
45	0.4589564183
46	0.4553375376
47	0.452680195
48	0.4504358307
49	0.4474021722
50	0.4441517186
51	0.4411048843
52	0.4389640148
53	0.4357741392
54	0.4341203686
55	0.4315922374
56	0.4296785083
57	0.4262186351
58	0.423986384
59	0.4216578763
60	0.4191083379
61	0.4165322458
62	0.4147608288
63	0.4131002283
64	0.4103704398
65	0.4087355584
66	0.4068964357
67	0.4044492952
68	0.4018464085
69	0.3994656515
70	0.3975508986
71	0.3957697426
72	0.3931182203
73	0.390693949
74	0.3877540996
75	0.3860189735
76	0.384152433
77	0.3821593454
78	0.3798615098
79	0.3784563338
80	0.3767491462
81	0.3748018007
82	0.3731800563
83	0.3713244773
84	0.3693385804
85	0.3676230815
86	0.365957263
87	0.3642235201
88	0.3632975457
89	0.3614184132
90	0.3599414363
91	0.358010714
92	0.35664753
93	0.3551724064
94	0.3535903931
95	0.3518879446
96	0.3507547306
97	0.3493759822
98	0.3481088102
99	0.3475781287
100	0.3459611043
101	0.3445211793
102	0.343369597
103	0.3420562226
104	0.3406526619
105	0.3393161289
106	0.3379715083
107	0.3367960555
108	0.3359764453
109	0.3346410958
110	0.3336250348
111	0.3326675513
112	0.3312212054
113	0.3297354434
114	0.3286811316
115	0.3277503747
116	0.3267103045
117	0.3257743708
118	0.324363202
119	0.3229000982
120	0.3218383369
121	0.3207469269
122	0.3198412213
123	0.3187988808
124	0.3177655502
125	0.3170476897
126	0.3159658954
127	0.3152568259
128	0.3143468353
129	0.3133580326
130	0.3126141101
131	0.3117149136
132	0.311504853
133	0.3109212662
134	0.3097739452
135	0.3088337896
136	0.3079809602
137	0.3073113432
138	0.3064954464
139	0.3061448115
140	0.3054450918
141	0.3046125233
142	0.3034667397
143	0.3027048627
144	0.3022227766
145	0.3013849736
146	0.3008005039
147	0.2993027078
148	0.2987254144
149	0.2980852873
150	0.2973173278
151	0.2967642445
152	0.2959470156
153	0.2950670413
154	0.2940855181
155	0.293540281
156	0.2928451991
157	0.2922536432
158	0.2914191571
159	0.2909118208
160	0.2904255585
161	0.2896052364
162	0.2892261155
163	0.2886676756
164	0.2879224591
165	0.2873552552
166	0.2868471626
167	0.2863869635
168	0.2860004288
169	0.2853719213
170	0.2847486276
171	0.2840618544
172	0.2837623831
173	0.283385384
174	0.2828337061
175	0.2821375245
176	0.2814408138
177	0.2811871365
178	0.280519736
179	0.2800654266
180	0.2794903291
181	0.2791844385
182	0.2786482815
183	0.2778983279
184	0.2771201273
185	0.2767485145
186	0.2762921836
187	0.2757037157
188	0.2751320538
189	0.2742133964
190	0.2736705026
191	0.2730510148
192	0.2724270348
193	0.2720092447
194	0.2713993302
195	0.2709365805
196	0.2702071835
197	0.2693734072
198	0.2690057622
199	0.2689603174
200	0.2684743366
201	0.2679353931
202	0.267187948
203	0.2667174592
204	0.2662752374
205	0.2655691195
206	0.2651837039
207	0.2646102927
208	0.2642074787
209	0.2635946524
210	0.2632553108
211	0.2626521241
212	0.2622378463
213	0.2615830116
214	0.261136625
215	0.2607848887
216	0.260276215
217	0.2602000125
218	0.2596940734
219	0.259389067
220	0.2587789487
221	0.2583526768
222	0.2578616798
223	0.2575446948
224	0.2571782566
225	0.2569273642
226	0.2562953454
227	0.2557075553
228	0.2552241756
229	0.2548976049
230	0.2545774857
231	0.2542274996
232	0.2535810319
233	0.2533665317
234	0.2527864329
235	0.2524159998
236	0.2520317947
237	0.2517447194
238	0.2512693848
239	0.250892387
240	0.2503388441
241	0.2499364325
242	0.2495136238
243	0.2493266816
244	0.2488587634
245	0.2484439041
246	0.2480909777
247	0.2475528433
248	0.2473411953
249	0.2468800116
250	0.2466561154
251	0.2462649407
252	0.2455777622
253	0.2453770841
254	0.2449603767
255	0.2447103629
256	0.2442247319
257	0.2438683559
258	0.2436433887
259	0.2433520163
260	0.2431651615
261	0.242891247
262	0.2424969063
263	0.2419103436
264	0.2417085435
265	0.2414326422
266	0.2410706408
267	0.240527667
268	0.2404435059
269	0.2401456127
270	0.2397921599
271	0.2395967637
272	0.2392644177
273	0.2388468546
274	0.2383680693
275	0.2380932388
276	0.2379528212
277	0.2375003126
278	0.2370900136
279	0.2367283354
280	0.2364219397
281	0.2361903298
282	0.2359243867
283	0.235565219
284	0.2352848826
285	0.2349667772
286	0.2347583567
287	0.2344537038
288	0.2342366566
289	0.233926806
290	0.2337205828
291	0.233385565
292	0.2330135145
293	0.2327004551
294	0.2323365104
295	0.2320687317
296	0.2318630907
297	0.2315120794
298	0.2313018064
299	0.2310334994
300	0.2306164642
301	0.2302355694
302	0.2300710921
303	0.2297910301
304	0.2295124536
305	0.2292022695
306	0.2288254419
307	0.2284850204
308	0.2281719932
309	0.2278880505
310	0.2276107455
311	0.2273890395
312	0.2271305588
313	0.2267274105
314	0.2264430983
315	0.2261910763
316	0.2258614828
317	0.2257484799
318	0.2253544163
319	0.2249628735
320	0.2247263638
321	0.2242327744
322	0.2239540441
323	0.2237667437
324	0.2235646269
325	0.2232506572
326	0.2228483509
327	0.2226757343
328	0.2224753906
329	0.22228743
330	0.2219232623
331	0.2217661307
332	0.2214733341
333	0.2212124398
334	0.2210762075
335	0.2207241189
336	0.2205648615
337	0.2202421569
338	0.220127196
339	0.2198157201
340	0.2195088901
341	0.2193735446
342	0.2191081826
343	0.2187178822
344	0.2186300106
345	0.2185037471
346	0.218231099
347	0.2180155925
348	0.2177602267
349	0.2175205246
350	0.2172620986
351	0.217145902
352	0.2168707347
353	0.2165992996
354	0.2162375931
355	0.2160940631
356	0.2159784867
357	0.2156058954
358	0.2154732709
359	0.2151684622
360	0.2148028597
361	0.214601153
362	0.2145100051
363	0.2143516552
364	0.2142117247
365	0.2139171629
366	0.2137558894
367	0.2134926255
368	0.2132434253
369	0.2130575103
370	0.2129237829
371	0.2127000344
372	0.2124663561
373	0.2122922919
374	0.2121610871
375	0.2118400132
376	0.21163081
377	0.211249725
378	0.2110907755
379	0.2107247274
380	0.2106009104
381	0.2101661213
382	0.2099077938
383	0.2097835419
384	0.2095013014
385	0.2093988967
386	0.2090266101
387	0.2088831136
388	0.2087405174
389	0.2085107486
390	0.2083863768
391	0.2080231812
392	0.2078222322
393	0.2076691382
394	0.2072676423
395	0.2068013541
396	0.2064841716
397	0.2061810112
398	0.2059546792
399	0.2057539943
400	0.2056197734
401	0.2053312976
402	0.2052200558
403	0.2049512994
404	0.2046285177
405	0.2045073327
406	0.2043656492
407	0.2041451612
408	0.2039030264
409	0.2037112694
410	0.2035625682
411	0.2033407598
412	0.203323985
413	0.2031152691
414	0.2029475131
415	0.2027764431
416	0.20266516
417	0.2024605174
418	0.2021810616
419	0.2019889041
420	0.2018293155
421	0.2016542078
422	0.2013615544
423	0.2011872926
424	0.200956496
425	0.2006048452
426	0.200464426
427	0.2001586208
428	0.1998965822
429	0.1997638692
430	0.1996598657
431	0.1995502194
432	0.1992239417
433	0.1990560776
434	0.1990028737
435	0.1988228554
436	0.1987570887
437	0.1984808247
438	0.198240165
439	0.198118803
440	0.1980491849
441	0.197921902
442	0.1978498908
443	0.1975915916
444	0.1974864492
445	0.1973369871
446	0.1971835274
447	0.1970413342
448	0.1969137822
449	0.1965674874
450	0.1963367782
451	0.1962718058
452	0.1961682891
453	0.1961026877
454	0.1959198438
455	0.1956968262
456	0.1956044975
457	0.1953554708
458	0.1952531674
459	0.1950912476
460	0.1948573474
461	0.1948435143
462	0.1945005233
463	0.1942793371
464	0.1941241462
465	0.1939697111
466	0.1937106287
467	0.1934452199
468	0.1930019587
469	0.1928452438
470	0.1927367912
471	0.1926143843
472	0.1924608191
473	0.1923386951
474	0.1921362649
475	0.1920029933
476	0.1917359155
477	0.1915437554
478	0.191368091
479	0.191198582
480	0.1910466171
481	0.1907698276
482	0.1905084353
483	0.190085606
484	0.1898535319
485	0.1896953775
486	0.1893999492
487	0.1891951182
488	0.1890368281
489	0.1887278306
490	0.188661292
491	0.1885762967
492	0.1884058388
493	0.1883003528
494	0.1879883997
495	0.187581961
496	0.1875218633
497	0.1872390286
498	0.1870951195
499	0.1869022021
500	0.1868164043
501	0.1866688932
502	0.1865392832
503	0.1864536601
504	0.1862401403
505	0.186142183
506	0.1858963686
507	0.1857763032
508	0.1855533318
509	0.1854058773
510	0.1852302947
511	0.1850674291
512	0.1849333481
513	0.1847870915
514	0.1845655195
515	0.1842734897
516	0.1839936936
517	0.1837065404
518	0.1835487383
519	0.1834308214
520	0.183268385
521	0.1830809859
522	0.1829324154
523	0.1825719586
524	0.1824273883
525	0.1821526112
526	0.1820764248
527	0.1818297764
528	0.1816098507
529	0.181427318
530	0.1813532062
531	0.1810863027
532	0.1809664265
533	0.1808236199
534	0.1806252294
535	0.1805205666
536	0.1804595798
537	0.1802956057
538	0.1802276636
539	0.1800740623
540	0.1798525285
541	0.1797959754
542	0.1794278212
543	0.1792501431
544	0.1790853894
545	0.1788911743
546	0.1785747588
547	0.1783518043
548	0.1781862903
549	0.177898881
550	0.1776548395
551	0.1774318783
552	0.1771895795
553	0.1770750919
554	0.176974112
555	0.1768921624
556	0.1765316292
557	0.1764421396
558	0.1763489571
559	0.1761703272
560	0.176152522
561	0.1760121221
562	0.1758298623
563	0.1757344419
564	0.1756173914
565	0.1753400818
566	0.1752681998
567	0.1752263261
568	0.1750794803
569	0.1749075954
570	0.1745267527
571	0.1743879546
572	0.174188145
573	0.174015585
574	0.173758512
575	0.1735976152
576	0.173261329
577	0.1731604357
578	0.1730631798
579	0.1729572641
580	0.1726793867
581	0.172566019
582	0.1723717896
583	0.172111267
584	0.1719773985
585	0.1717665159
586	0.1715451997
587	0.1713067834
588	0.1711903091
589	0.1709931779
590	0.1708143757
591	0.1707707837
592	0.1704546608
593	0.1703356626
594	0.1702405881
595	0.1699676875
596	0.1698945657
597	0.1697429627
598	0.1695859082
599	0.1693856257
600	0.1692029474
601	0.1691125162
602	0.1688370548
603	0.1687173914
604	0.1686581495
605	0.1684231189
606	0.1681141686
607	0.1679308866
608	0.1678043246
609	0.1676193487
610	0.1674398395
611	0.1672904418
612	0.1671330593
613	0.1669878464
614	0.1668384716
615	0.1666744233
616	0.1665110682
617	0.1663901769
618	0.1663768193
619	0.1661858792
620	0.1660475273
621	0.1659000307
622	0.1656836553
623	0.165506531
624	0.1653396124
625	0.1651104183
626	0.1650431974
627	0.1648824716
628	0.1644665327
629	0.1642587579
630	0.1641006072
631	0.1639385862
632	0.1638149802
633	0.1636553183
634	0.1635093858
635	0.1633898259
636	0.1631996459
637	0.1630140295
638	0.1628084225
639	0.1625869101
