iter	Passed	Remaining
0	47	47133
1	47	23835
2	48	15974
3	49	12213
4	50	9969
5	50	8414
6	51	7312
7	52	6506
8	53	5907
9	55	5467
10	55	5030
11	56	4659
12	57	4362
13	58	4114
14	59	3882
15	59	3683
16	61	3564
17	63	3438
18	63	3303
19	64	3169
20	65	3030
21	66	2939
22	66	2836
23	67	2740
24	68	2652
25	68	2571
26	70	2535
27	71	2479
28	72	2423
29	73	2371
30	74	2321
31	75	2276
32	75	2226
33	77	2214
34	81	2234
35	83	2233
36	85	2230
37	87	2206
38	88	2177
39	88	2135
40	89	2094
41	90	2056
42	90	2020
43	91	1981
44	91	1950
45	93	1930
46	93	1900
47	94	1874
48	94	1841
49	95	1816
50	96	1791
51	97	1769
52	97	1745
53	98	1721
54	98	1694
55	99	1672
56	99	1647
57	100	1626
58	100	1606
59	101	1587
60	101	1568
61	102	1550
62	103	1533
63	103	1516
64	104	1500
65	104	1482
66	105	1467
67	105	1452
68	106	1438
69	107	1423
70	107	1411
71	108	1403
72	109	1390
73	110	1379
74	110	1367
75	111	1356
76	112	1344
77	112	1333
78	113	1323
79	114	1312
80	114	1301
81	115	1290
82	115	1280
83	116	1269
84	117	1259
85	117	1250
86	118	1240
87	118	1231
88	119	1221
89	119	1213
90	120	1204
91	121	1195
92	121	1188
93	122	1180
94	123	1172
95	123	1167
96	125	1164
97	125	1157
98	126	1152
99	127	1143
100	128	1140
101	128	1133
102	129	1126
103	129	1119
104	130	1112
105	131	1105
106	131	1099
107	132	1092
108	132	1086
109	133	1079
110	134	1073
111	134	1067
112	135	1061
113	135	1055
114	136	1050
115	137	1044
116	137	1038
117	138	1033
118	138	1027
119	139	1024
120	140	1020
121	141	1016
122	142	1013
123	142	1009
124	144	1010
125	145	1005
126	145	1001
127	146	996
128	146	992
129	147	988
130	148	983
131	148	979
132	149	972
133	149	967
134	150	963
135	150	958
136	151	954
137	152	950
138	152	946
139	153	940
140	153	936
141	154	932
142	155	929
143	155	926
144	156	924
145	157	921
146	158	917
147	159	915
148	159	912
149	160	908
150	161	905
151	161	902
152	162	898
153	162	894
154	163	891
155	164	888
156	165	886
157	166	884
158	166	881
159	167	878
160	167	874
161	168	871
162	169	867
163	169	864
164	170	861
165	170	858
166	171	857
167	172	854
168	173	852
169	174	850
170	174	847
171	175	844
172	175	841
173	176	838
174	177	835
175	177	832
176	178	829
177	178	826
178	179	823
179	180	820
180	180	818
181	181	815
182	182	812
183	182	810
184	183	807
185	183	804
186	184	801
187	185	799
188	185	796
189	186	793
190	187	792
191	187	790
192	188	788
193	189	787
194	190	785
195	190	783
196	191	781
197	192	778
198	192	776
199	193	772
200	193	770
201	194	768
202	195	765
203	195	763
204	196	761
205	197	759
206	197	757
207	198	755
208	198	752
209	199	750
210	200	748
211	200	746
212	201	743
213	201	741
214	202	739
215	203	739
216	204	737
217	205	736
218	206	735
219	206	733
220	207	731
221	208	729
222	208	727
223	209	725
224	210	723
225	210	721
226	211	719
227	211	717
228	212	715
229	212	712
230	213	710
231	214	708
232	214	706
233	215	704
234	215	702
235	216	700
236	217	699
237	217	697
238	218	695
239	218	693
240	219	691
241	220	689
242	221	688
243	221	687
244	222	685
245	223	683
246	223	681
247	224	679
248	224	678
249	225	676
250	226	674
251	226	672
252	227	670
253	227	669
254	228	667
255	229	666
256	229	664
257	230	662
258	231	661
259	231	659
260	232	657
261	233	656
262	233	655
263	234	653
264	235	651
265	235	650
266	236	649
267	237	647
268	238	646
269	238	645
270	239	643
271	239	642
272	240	640
273	241	638
274	241	637
275	242	635
276	242	634
277	243	632
278	244	630
279	244	629
280	245	627
281	245	626
282	246	625
283	248	625
284	249	625
285	250	624
286	251	624
287	252	623
288	253	623
289	254	622
290	254	621
291	255	619
292	256	618
293	257	617
294	257	615
295	258	614
296	258	612
297	259	611
298	260	609
299	260	608
300	261	606
301	261	605
302	262	603
303	263	602
304	263	600
305	264	599
306	264	597
307	265	596
308	266	595
309	267	594
310	267	593
311	268	591
312	269	590
313	269	589
314	270	588
315	271	586
316	271	585
317	272	584
318	273	582
319	273	581
320	274	580
321	274	578
322	275	577
323	276	575
324	276	574
325	277	573
326	277	571
327	278	570
328	279	569
329	279	567
330	280	566
331	280	565
332	281	564
333	282	563
334	283	562
335	284	561
336	285	560
337	285	559
338	286	558
339	286	556
340	287	555
341	288	554
342	288	553
343	289	551
344	289	550
345	290	549
346	291	548
347	292	547
348	292	545
349	293	544
350	293	543
351	294	542
352	295	540
353	295	539
354	296	538
355	296	537
356	297	536
357	298	536
358	299	535
359	300	534
360	301	533
361	303	534
362	303	532
363	304	531
364	304	530
365	305	529
366	306	527
367	306	526
368	307	525
369	308	524
370	308	523
371	309	521
372	309	520
373	310	519
374	311	518
375	311	517
376	312	515
377	312	514
378	313	513
379	314	512
380	315	512
381	315	510
382	316	509
383	316	508
384	318	508
385	319	507
386	319	506
387	320	505
388	321	504
389	321	503
390	322	501
391	322	500
392	323	499
393	324	498
394	324	497
395	325	496
396	325	495
397	326	493
398	327	492
399	327	491
400	328	490
401	328	489
402	329	488
403	330	487
404	331	486
405	331	485
406	332	484
407	332	482
408	333	482
409	334	481
410	335	480
411	336	479
412	336	478
413	337	477
414	337	476
415	338	475
416	338	473
417	339	472
418	340	471
419	340	470
420	341	469
421	341	468
422	342	467
423	343	466
424	343	464
425	344	463
426	344	462
427	345	461
428	345	460
429	346	459
430	347	458
431	347	457
432	348	456
433	348	455
434	349	453
435	349	452
436	350	451
437	351	450
438	351	449
439	352	448
440	353	447
441	353	446
442	354	445
443	354	444
444	355	443
445	356	442
446	356	441
447	357	440
448	357	439
449	358	438
450	359	437
451	359	436
452	360	435
453	361	434
454	362	433
455	362	432
456	363	431
457	363	430
458	364	429
459	365	428
460	365	427
461	366	426
462	366	425
463	367	424
464	367	423
465	368	422
466	369	421
467	369	420
468	370	419
469	370	418
470	371	417
471	372	416
472	372	415
473	373	414
474	373	413
475	374	412
476	374	411
477	375	410
478	376	409
479	376	408
480	377	407
481	377	406
482	378	405
483	379	404
484	379	403
485	380	402
486	380	401
487	381	400
488	382	399
489	382	398
490	383	397
491	383	396
492	384	395
493	385	394
494	385	393
495	386	392
496	387	391
497	387	390
498	388	389
499	388	388
500	389	387
501	390	386
502	390	386
503	391	385
504	391	384
505	392	383
506	393	382
507	393	381
508	394	380
509	394	379
510	395	378
511	396	377
512	396	376
513	397	376
514	398	375
515	399	374
516	399	373
517	400	372
518	401	371
519	401	370
520	402	369
521	402	368
522	403	367
523	404	367
524	404	366
525	405	365
526	405	364
527	406	363
528	406	362
529	407	361
530	408	360
531	408	359
532	409	358
533	409	357
534	410	356
535	411	356
536	412	355
537	412	354
538	413	353
539	414	352
540	414	351
541	415	351
542	415	350
543	416	349
544	417	348
545	417	347
546	418	346
547	419	345
548	419	344
549	420	343
550	420	343
551	421	342
552	422	341
553	422	340
554	423	339
555	424	338
556	424	337
557	425	336
558	426	336
559	427	335
560	427	334
561	428	333
562	428	332
563	429	332
564	430	331
565	431	330
566	431	329
567	432	328
568	433	328
569	433	327
570	434	326
571	435	325
572	435	324
573	436	323
574	436	322
575	437	322
576	438	321
577	438	320
578	439	319
579	439	318
580	440	317
581	441	316
582	441	315
583	442	315
584	442	314
585	443	313
586	443	312
587	444	311
588	445	310
589	446	310
590	447	309
591	447	308
592	448	307
593	449	306
594	449	306
595	450	305
596	450	304
597	451	303
598	452	302
599	453	302
600	453	301
601	454	300
602	455	299
603	455	298
604	456	297
605	456	296
606	457	296
607	457	295
608	458	294
609	459	293
610	459	292
611	460	291
612	460	290
613	461	290
614	462	289
615	462	288
616	463	287
617	464	286
618	464	285
619	465	285
620	465	284
621	466	283
622	467	282
623	467	281
624	468	281
625	468	280
626	469	279
627	470	278
628	470	277
629	471	276
630	471	275
631	472	275
632	473	274
633	473	273
634	474	272
635	474	271
636	475	270
637	476	270
638	476	269
639	477	268
640	477	267
641	478	266
642	479	265
643	479	265
644	480	264
645	480	263
646	481	262
647	482	261
648	482	261
649	483	260
650	483	259
651	484	258
652	485	257
653	485	256
654	486	256
655	486	255
656	487	254
657	488	253
658	489	253
659	489	252
660	490	251
661	491	250
662	491	249
663	492	249
664	493	248
665	494	247
666	494	246
667	495	246
668	495	245
669	496	244
670	497	243
671	497	243
672	498	242
673	499	241
674	499	240
675	500	239
676	501	239
677	501	238
678	502	237
679	502	236
680	503	235
681	504	235
682	504	234
683	505	233
684	506	232
685	506	232
686	507	231
687	508	230
688	508	229
689	509	228
690	510	228
691	511	227
692	511	226
693	512	225
694	513	225
695	513	224
696	514	223
697	514	222
698	515	221
699	516	221
700	516	220
701	517	219
702	517	218
703	518	218
704	519	217
705	519	216
706	520	215
707	520	214
708	521	214
709	522	213
710	522	212
711	523	211
712	523	210
713	524	210
714	524	209
715	525	208
716	526	207
717	526	206
718	527	206
719	528	205
720	528	204
721	529	203
722	529	203
723	530	202
724	531	201
725	531	200
726	532	199
727	533	199
728	534	198
729	535	197
730	535	197
731	536	196
732	536	195
733	537	194
734	538	194
735	538	193
736	539	192
737	540	191
738	540	190
739	541	190
740	541	189
741	542	188
742	543	187
743	543	187
744	544	186
745	544	185
746	545	184
747	546	183
748	546	183
749	547	182
750	547	181
751	548	180
752	549	180
753	549	179
754	550	178
755	551	177
756	551	177
757	552	176
758	552	175
759	553	174
760	554	174
761	555	173
762	556	172
763	556	171
764	557	171
765	558	170
766	558	169
767	559	168
768	559	168
769	560	167
770	561	166
771	561	165
772	562	165
773	563	164
774	563	163
775	564	162
776	564	162
777	565	161
778	566	160
779	566	159
780	567	159
781	567	158
782	568	157
783	569	156
784	570	156
785	570	155
786	571	154
787	572	154
788	573	153
789	573	152
790	574	151
791	575	151
792	576	150
793	577	149
794	577	149
795	578	148
796	579	147
797	580	146
798	580	146
799	581	145
800	582	144
801	582	143
802	583	143
803	584	142
804	585	141
805	585	140
806	586	140
807	587	139
808	587	138
809	588	138
810	589	137
811	590	136
812	591	135
813	591	135
814	592	134
815	592	133
816	593	132
817	594	132
818	594	131
819	595	130
820	596	129
821	596	129
822	597	128
823	597	127
824	598	126
825	599	126
826	599	125
827	600	124
828	600	123
829	601	123
830	602	122
831	603	121
832	603	121
833	604	120
834	605	119
835	605	118
836	606	118
837	606	117
838	607	116
839	608	115
840	608	115
841	609	114
842	609	113
843	610	112
844	611	112
845	611	111
846	612	110
847	612	109
848	613	109
849	614	108
850	614	107
851	615	106
852	615	106
853	616	105
854	617	104
855	617	103
856	618	103
857	618	102
858	619	101
859	620	100
860	620	100
861	621	99
862	621	98
863	622	97
864	623	97
865	623	96
866	624	95
867	624	95
868	625	94
869	625	93
870	626	92
871	627	92
872	627	91
873	628	90
874	628	89
875	629	89
876	629	88
877	630	87
878	631	86
879	631	86
880	632	85
881	633	84
882	634	84
883	635	83
884	635	82
885	636	81
886	637	81
887	638	80
888	638	79
889	639	79
890	640	78
891	640	77
892	641	76
893	642	76
894	642	75
895	643	74
896	643	73
897	644	73
898	645	72
899	645	71
900	646	71
901	646	70
902	647	69
903	648	68
904	648	68
905	649	67
906	649	66
907	650	65
908	651	65
909	651	64
910	652	63
911	652	63
912	653	62
913	654	61
914	654	60
915	655	60
916	656	59
917	656	58
918	657	57
919	657	57
920	658	56
921	659	55
922	659	55
923	660	54
924	660	53
925	661	52
926	661	52
927	662	51
928	663	50
929	663	49
930	664	49
931	664	48
932	665	47
933	666	47
934	666	46
935	667	45
936	668	44
937	668	44
938	669	43
939	670	42
940	671	42
941	671	41
942	672	40
943	673	39
944	673	39
945	674	38
946	674	37
947	675	37
948	676	36
949	677	35
950	677	34
951	678	34
952	679	33
953	679	32
954	680	32
955	680	31
956	681	30
957	682	29
958	682	29
959	683	28
960	684	27
961	684	27
962	685	26
963	686	25
964	686	24
965	687	24
966	687	23
967	688	22
968	689	22
969	689	21
970	690	20
971	691	19
972	691	19
973	692	18
974	693	17
975	693	17
976	694	16
977	694	15
978	695	14
979	696	14
980	696	13
981	697	12
982	698	12
983	698	11
984	699	10
985	700	9
986	700	9
987	701	8
988	702	7
989	702	7
990	703	6
991	703	5
992	704	4
993	705	4
994	705	3
995	706	2
996	706	2
997	707	1
998	708	0
999	708	0
